TIME(s)	'pip2,ap2'	'ap2,clat'	'clat,clat'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
3.15	158	1	6	0	0	0	0	0	0	0	847
3.165	158	1	7	0	0	0	0	0	0	0	849
3.18	157	1	6	0	0	0	0	0	0	0	852
3.195	155	1	6	0	0	0	0	0	0	0	855
3.21	151	1	8	0	0	0	0	0	0	0	859
3.225	152	1	6	0	0	0	0	0	0	0	862
3.24	152	1	6	0	0	0	0	0	0	0	866
3.255	154	1	7	0	0	0	0	0	0	0	871
3.27	153	1	9	0	0	0	0	0	0	0	875
3.285	155	1	10	0	0	0	0	0	0	0	879
3.3	156	1	9	0	0	0	0	0	0	0	882
3.315	161	1	14	0	0	0	0	0	0	0	894
3.33	162	1	14	0	0	0	0	0	0	0	898
3.345	161	1	11	0	0	0	0	0	0	0	900
3.36	160	1	9	0	0	0	0	0	0	0	903
3.375	161	1	6	0	0	0	0	0	0	0	908
3.39	162	1	6	0	0	0	0	0	0	0	911
3.405	161	1	8	0	0	0	0	0	0	0	918
3.42	160	1	4	0	0	0	0	0	0	0	921
3.435	159	1	3	0	0	0	0	0	0	0	924
3.45	158	1	3	0	0	0	0	0	0	0	925
3.465	157	1	3	0	0	0	0	0	0	0	927
3.48	159	1	3	0	0	0	0	0	0	0	931
3.495	164	1	3	0	0	0	0	0	0	0	937
3.51	165	1	3	0	0	0	0	0	0	0	939
3.525	166	1	3	0	0	0	0	0	0	0	943
3.54	162	1	4	0	0	0	0	0	0	0	946
3.555	163	1	4	0	0	0	0	0	0	0	949
3.57	166	1	5	0	0	0	0	0	0	0	954
3.585	161	1	6	0	0	0	0	0	0	0	955
3.6	163	1	5	0	0	0	0	0	0	0	960
3.615	162	1	7	0	0	0	0	0	0	0	963
3.63	159	1	7	0	0	0	0	0	0	0	965
3.645	162	1	8	0	0	0	0	0	0	0	970
3.66	162	1	8	0	0	0	0	0	0	0	971
3.675	161	1	9	0	0	0	0	0	0	0	974
3.69	161	1	10	0	0	0	0	0	0	0	977
3.705	161	1	12	0	0	0	0	0	0	0	982
3.72	160	1	12	0	0	0	0	0	0	0	985
3.735	159	1	13	0	0	0	0	0	0	0	992
