Time (s): 0
1	A: 4. F: 3. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
1	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.072
4	A: 3. F: 2. 
6	A: 2. 
10	A: 3. 
6	A: 5. 
4	A: 1. F: 1. 
50	F: 1. 
5	A: 6. 
1	A: 4. F: 2. 
4	A: 4. 
10	A: 1. 
3	A: 3. F: 3. 
2	A: 2. F: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.073
4	A: 3. F: 2. 
6	A: 2. 
10	A: 3. 
5	A: 5. 
5	A: 1. F: 1. 
49	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
4	A: 4. 
8	A: 1. 
3	A: 3. F: 3. 
2	A: 2. F: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.074
2	A: 4. F: 3. 
6	A: 2. 
10	A: 3. 
5	A: 5. 
3	A: 1. F: 1. 
48	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
4	A: 4. 
7	A: 1. 
3	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
3	A: 3. F: 2. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.075
2	A: 4. F: 3. 
4	A: 2. 
10	A: 3. 
5	A: 5. 
3	A: 1. F: 1. 
48	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
3	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
3	A: 3. F: 2. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.076
2	A: 4. F: 3. 
4	A: 2. 
10	A: 3. 
5	A: 5. 
3	A: 1. F: 1. 
47	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
4	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
2	A: 3. F: 2. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.077
2	A: 4. F: 3. 
4	A: 2. 
10	A: 3. 
5	A: 5. 
3	A: 1. F: 1. 
47	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
4	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
2	A: 3. F: 2. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.078
2	A: 4. F: 3. 
4	A: 2. 
10	A: 3. 
5	A: 5. 
3	A: 1. F: 1. 
47	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
4	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
2	A: 3. F: 2. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.079
2	A: 4. F: 3. 
4	A: 2. 
10	A: 3. 
5	A: 5. 
3	A: 1. F: 1. 
47	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
4	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
2	A: 3. F: 2. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.08
2	A: 4. F: 3. 
4	A: 2. 
10	A: 3. 
5	A: 5. 
3	A: 1. F: 1. 
47	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
4	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
2	A: 3. F: 2. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.081
1	A: 4. F: 3. 
4	A: 2. 
