Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0.026,44,60,51,60,42,52,51,49,54,47,2,3,2,2,4,2,8,4,11,4,4,7,7,4,8,3,2,1,4,4,2,5,10,2,4,9,5,6,13,4,8,6,4,4,5,6,4,2,3,2,2,7,4,1,8,4,3,3,1,2,3,5,8,0,4
0.027,44,60,51,59,43,52,51,49,54,47,2,3,2,2,4,2,8,4,11,4,4,7,7,4,8,3,2,1,4,4,2,5,10,2,4,9,5,6,13,4,8,6,4,4,5,6,4,2,3,2,2,7,4,1,8,4,3,3,1,3,3,5,8,0,3
0.028,44,60,49,57,43,50,50,48,50,47,2,3,2,2,4,2,8,4,11,4,4,7,7,4,8,3,2,1,5,4,2,6,10,2,4,9,5,6,13,4,8,6,4,4,5,6,4,2,3,2,3,7,4,2,8,4,4,3,2,3,3,5,8,0,3
0.029,44,60,49,57,43,50,50,48,50,47,2,3,2,2,4,2,8,4,11,4,4,7,7,4,8,3,2,1,5,4,2,6,10,2,4,9,5,6,13,4,8,6,4,4,5,6,4,2,3,2,3,7,4,2,8,4,4,3,2,3,3,5,8,0,3
0.03,43,59,49,57,42,49,49,46,49,47,2,3,2,2,4,2,8,4,11,4,4,7,7,4,8,3,2,1,5,4,2,7,10,2,4,9,5,6,13,4,8,6,5,4,5,6,4,2,4,2,3,7,4,2,8,4,4,3,2,3,3,6,8,0,3
0.031,43,59,49,57,42,49,49,45,49,46,2,3,2,2,4,2,8,4,11,4,4,7,7,4,8,3,2,1,5,4,2,7,10,2,4,9,5,6,14,4,8,6,5,4,5,6,4,2,4,2,3,7,4,2,8,4,4,3,2,3,3,6,8,0,3
0.032,40,57,48,54,39,49,48,44,49,44,2,3,2,3,4,2,8,4,13,4,4,8,7,4,8,3,2,1,5,4,2,7,10,2,4,9,5,6,14,4,8,6,5,4,6,6,5,2,4,2,3,7,5,2,8,4,4,3,2,4,3,6,8,0,3
0.033,39,55,44,50,38,47,48,44,49,44,2,3,3,4,4,3,8,4,13,4,5,8,8,5,8,4,2,1,5,4,2,7,10,2,4,9,5,6,14,4,8,6,5,4,6,6,5,2,4,2,3,7,5,2,8,4,4,3,2,4,3,6,8,0,3
0.034,39,55,44,49,38,48,47,43,49,44,2,3,3,4,4,3,8,4,13,4,5,8,8,5,8,4,2,1,5,4,2,7,10,2,4,9,5,6,14,4,7,7,5,4,6,6,5,2,4,2,3,7,5,2,8,4,4,4,2,4,3,6,8,0,3
0.035,38,55,44,48,37,49,46,43,48,44,2,3,3,4,4,3,8,4,13,4,5,9,8,5,8,4,2,1,5,4,2,7,10,2,4,9,5,6,14,4,7,7,5,5,6,5,5,2,4,2,3,7,5,2,8,4,5,4,2,4,3,6,8,0,3
0.036,37,54,43,47,36,49,45,42,48,43,2,3,3,4,4,3,8,4,13,4,5,10,8,5,8,4,2,1,5,4,2,7,10,2,4,9,5,6,14,4,7,7,5,5,7,5,5,2,4,2,3,7,6,2,8,4,6,4,2,4,3,6,8,0,3
0.037,36,53,43,46,34,49,45,42,47,43,2,3,3,4,4,3,8,5,13,4,5,11,8,5,8,4,2,1,5,4,2,7,10,2,4,9,5,6,14,4,7,7,5,5,7,5,5,2,4,2,3,7,6,2,8,4,6,4,2,4,3,6,8,1,3
0.038,36,51,44,45,34,48,44,41,46,43,2,3,3,4,4,3,8,5,13,4,5,11,8,5,8,4,2,1,5,4,2,7,10,2,4,9,5,7,14,4,7,7,5,5,7,5,6,2,4,3,3,7,6,2,7,5,6,4,2,4,3,6,8,1,3
0.039,36,51,44,45,34,48,44,41,46,43,2,3,3,4,4,3,8,5,13,4,5,11,8,5,8,4,2,1,5,4,2,7,10,2,4,9,5,7,14,4,7,7,5,5,7,5,6,2,4,3,3,7,6,2,7,5,6,4,2,4,3,6,8,1,3
0.04,34,44,40,44,33,45,43,39,43,39,2,4,4,4,4,4,8,6,13,4,5,11,8,6,8,4,2,1,5,4,2,7,10,3,4,9,6,8,15,4,7,7,5,5,7,7,6,2,5,4,3,7,6,3,7,5,6,4,2,4,3,6,8,1,3
0.041,34,44,39,44,32,45,43,39,43,39,2,4,4,4,4,4,8,6,13,4,5,11,8,7,8,4,2,1,5,4,2,7,10,3,4,9,6,8,15,4,7,7,5,5,7,7,6,2,5,4,3,7,6,3,7,5,6,4,2,4,3,6,8,1,3
0.042,34,44,39,44,32,45,43,39,43,39,2,4,4,4,4,4,8,6,13,4,5,11,8,7,8,4,2,1,5,4,2,7,10,3,4,9,6,8,15,4,7,7,5,5,7,7,6,2,5,4,3,7,6,3,7,5,6,4,2,4,3,6,8,1,3
0.043,34,44,39,44,32,45,43,39,43,39,2,4,4,4,4,4,8,6,13,4,5,11,8,7,8,4,2,1,5,4,2,7,10,3,4,9,6,8,15,4,7,7,5,5,7,7,6,2,5,4,3,7,6,3,7,5,6,4,2,4,3,6,8,1,3
0.044,34,44,38,43,31,45,43,39,42,39,2,4,4,4,4,4,8,6,13,4,5,11,8,7,9,4,2,1,5,4,2,7,10,3,4,9,6,8,15,4,7,7,5,5,7,7,6,2,5,4,3,7,6,4,7,5,6,4,2,4,3,6,8,1,3
0.045,34,44,38,43,31,45,43,39,44,39,2,4,4,4,4,4,8,6,13,4,5,11,8,7,9,4,2,1,4,4,2,7,10,3,4,9,6,8,15,4,7,7,5,5,7,7,6,2,5,4,3,7,6,4,7,5,6,4,2,4,3,6,8,1,3
0.046,34,43,38,43,31,44,42,39,44,38,2,4,4,4,4,4,8,6,13,4,5,11,7,7,9,4,2,1,4,4,2,7,10,3,4,9,6,8,15,4,7,7,5,5,7,7,7,2,5,4,3,7,6,4,8,6,6,4,2,4,3,6,8,1,3
0.047,33,41,37,41,31,41,42,39,43,36,2,4,4,4,4,5,8,6,13,4,5,11,7,7,9,4,2,1,4,4,2,7,10,3,4,9,6,8,15,5,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.048,33,41,37,41,31,41,42,39,43,36,2,4,4,4,4,5,8,6,13,4,5,11,7,7,9,4,2,1,4,4,2,7,10,3,4,9,6,8,15,5,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.049,32,41,35,37,30,41,42,39,43,36,2,3,5,5,4,6,8,6,13,4,6,11,7,7,10,4,2,1,4,4,2,7,10,3,4,9,6,8,15,5,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.05,32,41,35,37,30,41,42,37,43,36,2,3,5,5,4,6,8,6,13,4,6,11,7,7,10,4,2,2,4,4,2,7,10,3,4,9,6,8,15,5,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.051,31,41,33,36,30,41,42,37,43,36,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,4,2,2,4,4,2,7,10,3,4,9,6,8,15,5,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.052,31,41,33,36,30,42,42,38,43,36,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,4,2,2,4,4,2,6,10,3,4,9,6,8,15,5,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.053,31,41,33,36,30,42,42,38,42,35,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,4,2,2,4,4,2,6,10,3,4,9,6,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.054,31,41,33,36,30,42,42,38,42,35,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,4,2,2,4,4,2,6,10,3,4,9,6,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.055,31,41,33,36,30,42,42,38,42,35,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,4,2,2,4,4,2,6,10,3,4,9,6,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
