Time (s): 0.013
12	gag: 8. 
409	gag: 2. 
29	gag: 6. 
288	gag: 1. 
101	gag: 4. 
84	gag: 3. 
24	gag: 5. 
5	gag: 12. 
5	gag: 9. 
13	gag: 7. 
4	gag: 11. 
2	gag: 13. 
1	gag: 17. 
5	gag: 10. 
1	gag: 15. 
Time (s): 0.0135
13	gag: 8. 
395	gag: 2. 
32	gag: 6. 
275	gag: 1. 
102	gag: 4. 
81	gag: 3. 
24	gag: 5. 
5	gag: 12. 
5	gag: 9. 
14	gag: 7. 
3	gag: 11. 
3	gag: 13. 
6	gag: 10. 
1	gag: 15. 
1	gag: 18. 
Time (s): 0.014
15	gag: 8. 
385	gag: 2. 
31	gag: 6. 
267	gag: 1. 
