TIME(s)	'A,A'	'A,B'	'B,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.173	108	166	110	207	155	2	0	0	0	0	179
0.174	108	166	110	207	155	2	0	0	0	0	179
0.175	108	166	110	207	155	2	0	0	0	0	179
0.176	108	166	110	207	155	2	0	0	0	0	179
0.177	108	166	110	207	157	2	0	0	0	0	179
0.178	108	166	110	207	157	2	0	0	0	0	179
0.179	108	166	110	207	158	2	0	0	0	0	179
0.18	108	166	110	207	158	2	0	0	0	0	179
0.181	108	166	110	207	158	2	0	0	0	0	179
0.182	108	166	110	207	158	2	0	0	0	0	179
0.183	108	166	110	207	158	2	0	0	0	0	179
0.184	108	166	110	207	158	2	0	0	0	0	179
0.185	108	166	110	207	159	2	0	0	0	0	179
0.186	108	166	110	207	159	2	0	0	0	0	179
0.187	108	166	110	207	159	2	0	0	0	0	179
0.188	108	166	110	207	160	2	0	0	0	0	179
0.189	108	166	110	207	161	2	0	0	0	0	179
0.19	108	166	110	207	162	2	0	0	0	0	179
0.191	108	166	110	207	163	2	0	0	0	0	179
0.192	108	166	110	207	165	2	0	0	0	0	179
0.193	108	166	110	207	165	2	0	0	0	0	179
0.194	108	166	110	207	165	2	0	0	0	0	179
0.195	108	166	110	207	166	2	0	0	0	0	179
0.196	108	166	110	207	166	2	0	0	0	0	179
0.197	108	166	110	207	167	2	0	0	0	0	179
0.198	107	166	110	207	168	2	0	0	0	0	179
0.199	107	166	110	207	169	2	0	0	0	0	179
0.2	107	166	110	207	170	2	0	0	0	0	179
0.201	107	166	110	207	172	2	0	0	0	0	179
0.202	107	166	110	207	173	2	0	0	0	0	179
0.203	107	166	110	207	173	2	0	0	0	0	179
0.204	107	166	110	207	173	2	0	0	0	0	179
0.205	107	166	110	207	173	2	0	0	0	0	179
0.206	107	166	110	207	176	2	0	0	0	0	179
0.207	107	166	110	207	176	2	0	0	0	0	179
0.208	107	166	110	207	176	2	0	0	0	0	179
0.209	107	166	110	207	177	2	0	0	0	0	179
0.21	107	166	110	207	177	2	0	0	0	0	179
0.211	107	166	110	207	178	2	0	0	0	0	179
0.212	107	166	110	207	179	2	0	0	0	0	179
0.213	107	166	110	207	179	2	0	0	0	0	179
0.214	107	166	110	207	181	2	0	0	0	0	179
0.215	107	166	110	207	182	2	0	0	0	0	179
0.216	107	166	110	207	184	2	0	0	0	0	179
0.217	107	176	110	216	186	2	0	0	0	0	180
0.218	107	176	110	216	188	2	0	0	0	0	180
0.219	107	176	110	216	189	2	0	0	0	0	180
0.22	107	176	110	216	190	2	0	0	0	0	180
0.221	107	176	110	216	190	2	0	0	0	0	180
0.222	107	176	110	216	191	2	0	0	0	0	180
0.223	107	176	110	216	192	2	0	0	0	0	180
0.224	107	176	110	216	192	2	0	0	0	0	180
0.225	107	176	110	216	193	2	0	0	0	0	180
0.226	107	176	110	216	193	2	0	0	0	0	180
0.227	107	176	110	216	194	2	0	0	0	0	180
0.228	107	176	110	216	194	2	0	0	0	0	180
0.229	107	176	110	216	195	2	0	0	0	0	180
0.23	107	176	110	216	197	2	0	0	0	0	180
0.231	107	176	110	216	199	2	0	0	0	0	180
0.232	107	176	110	216	201	2	0	0	0	0	180
0.233	107	176	110	216	204	2	0	0	0	0	180
0.234	107	176	110	216	204	2	0	0	0	0	180
0.235	107	176	110	216	204	2	0	0	0	0	180
0.236	107	176	110	216	204	2	0	0	0	0	180
0.237	107	176	110	216	205	2	0	0	0	0	180
0.238	107	176	110	216	206	2	0	0	0	0	180
0.239	107	176	110	216	206	2	0	0	0	0	180
0.24	107	176	110	216	206	2	0	0	0	0	180
0.241	107	176	110	216	207	2	0	0	0	0	180
0.242	107	176	110	216	207	2	0	0	0	0	180
0.243	107	176	110	216	209	2	0	0	0	0	180
0.244	107	176	110	216	210	2	0	0	0	0	180
0.245	107	176	110	216	210	2	0	0	0	0	180
0.246	107	176	110	216	210	2	0	0	0	0	180
0.247	107	176	110	216	210	2	0	0	0	0	180
0.248	108	179	110	219	210	2	0	0	0	0	181
0.249	108	179	110	219	210	2	0	0	0	0	181
0.25	108	179	110	219	212	2	0	0	0	0	181
0.251	108	179	110	219	213	2	0	0	0	0	181
0.252	108	179	110	219	214	2	0	0	0	0	181
0.253	108	179	110	219	215	2	0	0	0	0	181
0.254	108	179	110	219	215	2	0	0	0	0	181
0.255	108	179	110	219	215	2	0	0	0	0	181
0.256	108	179	110	219	215	2	0	0	0	0	181
0.257	108	179	110	219	215	2	0	0	0	0	181
0.258	108	179	110	219	215	2	0	0	0	0	181
0.259	108	179	110	219	215	2	0	0	0	0	181
0.26	108	179	110	219	215	2	0	0	0	0	181
0.261	108	179	110	219	216	2	0	0	0	0	181
0.262	108	179	110	219	216	2	0	0	0	0	181
0.263	108	179	110	219	217	2	0	0	0	0	181
