Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0.026,55,44,38,44,50,41,39,38,40,39,0,3,4,3,1,6,7,4,9,6,10,4,4,6,7,2,5,4,2,2,6,9,8,7,5,9,6,5,9,12,4,5,5,3,2,5,5,5,3,6,5,4,5,10,7,8,6,3,2,6,3,5,8,4,2
0.027,55,44,38,44,50,41,39,38,40,39,0,3,4,3,1,6,7,4,9,6,10,4,4,6,7,2,5,4,2,2,6,9,8,7,5,9,6,5,9,12,4,5,5,3,2,5,5,5,3,6,5,4,5,10,7,8,6,3,2,6,3,5,8,4,2
0.028,55,44,38,44,50,41,39,38,40,39,0,3,4,3,1,6,7,4,9,6,10,4,4,6,7,2,5,4,2,2,6,9,8,7,5,9,6,5,9,12,4,5,5,3,2,5,5,5,3,6,5,4,5,10,7,8,6,3,2,6,3,5,8,4,2
0.029,55,44,38,44,50,41,39,38,40,39,0,3,4,3,1,6,7,4,9,6,10,4,4,6,7,2,5,4,2,2,6,9,8,7,5,9,6,5,9,12,4,5,5,3,2,5,5,5,3,6,5,4,5,10,7,8,6,3,2,6,3,5,8,4,2
0.03,53,42,37,44,49,41,38,37,40,39,0,3,4,3,1,6,8,4,9,6,10,5,4,6,7,2,5,4,2,2,6,9,8,7,5,9,6,5,9,12,4,5,6,3,2,5,6,5,3,6,5,4,5,10,7,8,6,3,2,6,3,5,8,4,2
0.031,52,42,37,43,48,41,36,36,39,38,0,3,4,3,1,6,8,4,9,6,10,5,4,6,7,2,6,4,2,2,6,9,8,7,5,9,6,5,9,12,4,5,7,3,2,5,6,5,3,6,5,4,5,10,7,8,6,3,2,7,3,5,8,5,2
0.032,52,42,37,43,46,41,35,33,39,38,0,3,4,3,2,6,8,4,9,6,10,5,4,6,7,2,6,5,2,2,6,9,8,7,6,9,6,5,9,12,4,5,7,3,2,5,6,5,3,6,5,4,5,10,7,8,6,3,2,7,3,5,8,5,2
0.033,52,42,37,43,46,41,35,33,39,38,0,3,4,3,2,6,8,4,9,6,10,5,4,6,7,2,6,5,2,2,6,9,8,7,6,9,6,5,9,12,4,5,7,3,2,5,6,5,3,6,5,4,5,10,7,8,6,3,2,7,3,5,8,5,2
0.034,52,42,37,43,44,41,35,33,39,38,0,3,4,3,3,6,8,4,9,6,10,5,4,6,7,2,6,5,2,2,6,9,8,7,6,9,6,5,9,12,4,5,7,3,2,5,6,5,3,6,5,4,5,10,7,8,6,3,2,7,3,5,8,5,2
0.035,51,42,36,42,43,41,35,33,39,38,0,3,4,3,3,6,8,5,9,6,10,5,4,7,7,2,6,5,2,2,6,9,8,7,6,9,6,5,9,12,4,5,7,3,2,5,6,5,3,6,5,4,5,10,7,8,6,3,2,7,3,5,8,5,2
0.036,51,42,36,43,44,40,34,33,39,38,0,3,4,3,3,6,8,5,9,6,10,5,4,7,6,2,6,5,2,2,7,9,8,7,6,9,6,5,9,12,4,5,7,3,2,5,6,5,3,6,5,4,5,10,7,8,6,3,2,7,3,5,8,5,2
0.037,50,42,36,43,42,40,34,33,38,38,0,3,4,3,4,6,8,5,9,6,10,5,4,7,6,2,6,5,2,2,7,9,8,7,6,9,6,5,9,12,4,5,7,4,2,5,6,5,3,6,5,4,5,10,7,8,6,3,2,7,3,5,8,5,2
0.038,48,39,35,43,40,37,33,32,37,38,1,4,4,3,5,6,8,5,9,6,10,5,4,7,6,2,6,5,2,2,8,9,9,7,6,9,6,5,9,12,4,5,7,4,2,5,6,6,3,6,6,4,5,10,7,8,6,3,2,7,3,5,8,5,2
0.039,46,39,34,43,39,37,33,32,37,38,2,4,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,5,9,12,4,5,7,4,2,5,6,6,3,6,6,4,5,10,7,8,6,3,2,7,3,5,8,5,2
0.04,45,37,33,43,39,37,32,31,37,38,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,5,9,12,4,5,8,4,2,5,6,6,3,6,6,5,5,10,7,8,6,3,2,7,3,5,8,5,2
0.041,45,37,33,43,39,37,32,31,37,38,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,5,9,12,4,5,8,4,2,5,6,6,3,6,6,5,5,10,7,8,6,3,2,7,3,5,8,5,2
0.042,45,37,33,43,39,37,32,31,37,38,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,5,9,12,4,5,8,4,2,5,6,6,3,6,6,5,5,10,7,8,6,3,2,7,3,5,8,5,2
0.043,45,37,33,43,39,37,32,31,37,38,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,5,9,12,4,5,8,4,2,5,6,6,3,6,6,5,5,10,7,8,6,3,2,7,3,5,8,5,2
0.044,45,37,33,43,39,37,32,31,37,38,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,5,9,12,4,5,8,4,2,5,6,6,3,6,6,5,5,10,7,8,6,3,2,7,3,5,8,5,2
0.045,45,37,32,43,39,37,32,30,35,38,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,6,9,12,4,5,8,4,2,5,6,6,3,6,6,5,5,11,7,8,6,3,2,7,3,5,8,5,2
0.046,45,36,31,42,38,37,32,30,34,35,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,6,9,12,4,5,8,4,2,5,6,6,3,7,6,5,5,12,7,8,6,3,2,8,3,5,8,5,3
0.047,45,36,31,42,38,37,32,30,34,35,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,6,9,12,4,5,8,4,2,5,6,6,3,7,6,5,5,12,7,8,6,3,2,8,3,5,8,5,3
0.048,45,36,31,42,38,37,32,30,34,35,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,6,9,12,4,5,8,4,2,5,6,6,3,7,6,5,5,12,7,8,6,3,2,8,3,5,8,5,3
0.049,45,36,31,42,38,37,32,30,34,35,2,5,4,3,5,6,8,5,9,6,10,5,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,6,9,12,4,5,8,4,2,5,6,6,3,7,6,5,5,12,7,8,6,3,2,8,3,5,8,5,3
0.05,44,34,30,41,37,37,32,29,33,35,2,5,4,3,5,6,8,5,9,7,10,6,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,6,4,2,8,3,5,8,5,3
0.051,42,32,30,41,36,37,31,29,33,35,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,6,4,2,8,3,6,8,5,3
0.052,42,32,30,41,36,37,31,29,33,35,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,6,5,2,2,8,9,9,7,6,9,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,6,4,2,8,3,6,8,5,3
0.053,42,32,30,41,36,36,28,29,32,34,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,10,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,6,4,2,8,3,6,8,5,3
0.054,42,32,30,41,36,36,28,29,32,34,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,10,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,6,4,2,8,3,6,8,5,3
0.055,42,32,30,41,36,36,28,29,32,34,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,10,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,6,4,2,8,3,6,8,5,3
0.056,42,32,30,41,36,36,28,29,32,34,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,10,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,6,4,2,8,3,6,8,5,3
0.057,42,32,30,41,36,36,28,29,32,34,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,10,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,6,4,2,8,3,6,8,5,3
0.058,42,32,30,40,36,36,27,29,32,34,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,10,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,7,4,2,8,3,6,8,5,3
0.059,42,32,30,40,36,36,27,29,32,34,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,10,6,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,7,4,2,8,3,6,8,5,3
0.06,42,32,30,40,35,36,25,29,30,33,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,4,5,8,5,2,5,6,6,3,7,6,5,5,12,7,8,7,4,2,8,3,6,8,6,3
0.061,41,31,29,39,34,34,25,27,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,5,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,5,2,8,3,6,9,6,3
0.062,41,31,29,39,34,34,25,27,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,5,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,5,2,8,3,6,9,6,3
0.063,41,31,29,39,34,34,25,27,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,5,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,5,2,8,3,6,9,6,3
0.064,41,31,29,39,34,34,25,27,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,5,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,5,2,8,3,6,9,6,3
0.065,41,31,29,39,34,34,25,27,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,5,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,5,2,8,3,6,9,6,3
0.066,41,31,29,39,34,34,25,27,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,5,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,5,2,8,3,6,9,6,3
0.067,41,31,29,39,34,34,25,27,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,5,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,5,2,8,3,6,9,6,3
0.068,40,31,29,38,33,33,24,26,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,6,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,6,2,8,4,6,9,6,3
0.069,40,31,29,38,33,33,24,26,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,6,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,6,2,8,4,6,9,6,3
0.07,40,31,29,38,33,33,24,26,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,6,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,6,2,8,4,6,9,6,3
0.071,40,31,29,38,33,33,24,26,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,6,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,6,2,8,4,6,9,6,3
0.072,40,31,29,38,33,33,24,26,30,32,3,6,4,3,5,6,8,5,9,7,10,6,4,8,6,2,7,5,2,2,8,9,9,8,6,11,7,6,9,12,5,6,8,5,2,5,6,6,3,8,7,5,5,12,7,8,7,6,2,8,4,6,9,6,3
