Time (s),ap2Mem,leg
10.755,163,6
10.77,161,7
10.785,160,10
10.8,161,10
10.815,165,9
10.83,164,10
10.845,165,11
10.86,164,10
10.875,163,9
10.89,162,9
10.905,162,8
10.92,164,7
10.935,164,5
10.95,166,5
10.965,167,6
10.98,163,6
10.995,162,6
11.01,161,8
11.025,158,10
11.04,158,10
11.055,158,10
11.07,161,9
11.085,162,8
11.1,162,10
11.115,161,10
11.13,159,11
11.145,160,9
11.16,159,7
11.175,157,6
11.19,158,9
11.205,158,10
11.22,158,10
11.235,157,11
11.25,157,9
11.265,158,12
11.28,158,12
11.295,161,13
11.31,160,11
11.325,158,9
11.34,162,6
11.355,165,5
11.37,160,5
11.385,162,4
11.4,157,8
11.415,156,8
11.43,153,10
11.445,154,9
11.46,158,10
11.475,156,11
11.49,156,12
11.505,161,10
11.52,159,9
11.535,161,9
11.55,164,9
11.565,160,8
11.58,158,9
11.595,161,9
11.61,163,7
11.625,164,8
11.64,163,10
11.655,167,10
11.67,167,9
11.685,168,9
11.7,170,9
11.715,167,11
11.73,168,11
11.745,167,9
11.76,164,8
11.775,165,6
11.79,165,6
11.805,165,8
11.82,162,7
11.835,161,7
11.85,162,9
11.865,165,7
11.88,164,6
11.895,161,4
11.91,158,4
11.925,157,6
11.94,158,4
11.955,158,4
11.97,158,3
11.985,156,3
12,155,5
12.015,155,5
12.03,158,4
12.045,158,4
12.06,157,4
12.075,155,4
12.09,156,5
12.105,160,5
12.12,161,6
12.135,160,7
12.15,159,6
12.165,160,6
12.18,162,4
12.195,163,6
12.21,162,6
12.225,160,7
12.24,162,6
12.255,163,8
12.27,162,8
12.285,161,7
12.3,161,7
12.315,160,4
12.33,163,5
12.345,163,6
12.36,162,6
12.375,160,7
12.39,160,7
12.405,160,8
12.42,158,7
12.435,159,8
12.45,159,7
12.465,158,9
12.48,161,8
12.495,161,10
12.51,164,9
12.525,167,8
12.54,166,8
12.555,166,7
12.57,168,7
12.585,165,6
12.6,164,8
12.615,163,9
12.63,165,8
12.645,165,7
12.66,165,8
12.675,165,7
12.69,165,7
12.705,165,6
12.72,165,5
12.735,163,6
12.75,163,6
12.765,164,7
12.78,162,8
12.795,163,8
12.81,161,10
12.825,159,10
12.84,163,9
12.855,163,10
12.87,166,12
12.885,160,10
12.9,159,10
12.915,157,8
12.93,161,7
12.945,161,8
12.96,160,9
12.975,160,7
12.99,161,6
13.005,156,6
13.02,156,5
13.035,156,9
13.05,153,7
13.065,158,10
13.08,159,10
13.095,160,5
13.11,160,5
13.125,161,7
13.14,164,8
13.155,162,8
13.17,158,10
13.185,155,10
13.2,155,9
13.215,155,9
13.23,155,11
13.245,155,11
13.26,153,10
13.275,157,8
13.29,156,7
13.305,154,7
13.32,156,7
13.335,156,4
13.35,156,8
13.365,159,7
13.38,160,6
13.395,160,8
13.41,162,9
13.425,161,12
13.44,162,11
13.455,161,10
13.47,158,9
13.485,158,8
13.5,159,10
13.515,161,10
13.53,163,8
13.545,163,7
13.56,163,8
13.575,161,9
13.59,163,11
13.605,163,11
13.62,166,11
13.635,164,15
13.65,164,10
13.665,161,9
13.68,160,10
13.695,160,11
13.71,160,9
13.725,160,10
13.74,160,13
13.755,159,13
13.77,162,12
13.785,162,11
13.8,160,11
13.815,159,10
13.83,161,6
13.845,162,7
13.86,162,5
13.875,167,6
13.89,166,6
13.905,165,5
13.92,164,6
13.935,161,6
13.95,161,4
13.965,158,4
13.98,159,6
13.995,157,6
14.01,159,8
14.025,159,7
14.04,161,6
14.055,162,6
14.07,162,9
14.085,163,8
14.1,161,7
14.115,162,7
14.13,163,7
14.145,162,7
14.16,162,7
14.175,160,6
14.19,161,6
14.205,162,5
14.22,162,5
14.235,160,5
14.25,158,7
14.265,157,7
14.28,159,7
14.295,158,7
14.31,157,7
14.325,156,9
14.34,157,8
14.355,158,8
14.37,161,10
14.385,158,11
14.4,156,8
14.415,160,7
14.43,161,6
14.445,162,7
14.46,162,9
14.475,162,7
14.49,158,9
14.505,158,10
14.52,161,9
14.535,160,10
14.55,158,11
14.565,158,11
14.58,159,9
14.595,159,11
14.61,158,10
14.625,159,11
14.64,159,11
14.655,162,11
14.67,163,11
14.685,161,10
14.7,158,9
14.715,162,9
14.73,163,7
14.745,165,7
14.76,165,7
14.775,166,8
14.79,164,7
14.805,162,8
14.82,163,9
14.835,163,11
14.85,166,11
14.865,166,10
14.88,165,12
14.895,159,15
14.91,160,15
14.925,158,11
14.94,160,11
14.955,162,9
14.97,162,9
14.985,160,9
15,160,10
15.015,163,6
15.03,161,6
15.045,163,4
15.06,162,5
15.075,158,7
15.09,160,7
15.105,160,8
15.12,159,8
