Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0.041,21,38,32,23,32,27,34,37,32,32,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,15,8,9,4,10,6,5,7,3,5,7,4,5,2,7,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.042,21,38,32,23,32,27,34,37,32,32,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,15,8,9,4,10,6,5,7,3,5,7,4,5,2,7,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.043,21,38,32,23,32,27,34,37,32,32,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,15,8,9,4,10,6,5,7,3,5,7,4,5,2,7,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.044,21,38,32,23,32,27,34,37,32,32,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,15,8,9,4,10,6,5,7,3,5,7,4,5,2,7,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.045,21,37,32,23,32,26,33,36,29,29,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,16,8,9,4,10,6,6,9,3,5,7,4,5,2,8,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.046,21,37,32,23,32,26,33,36,29,29,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,16,8,9,4,10,6,6,9,3,5,7,4,5,2,8,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.047,21,37,32,23,32,26,33,36,29,29,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,16,8,9,4,10,6,6,9,3,5,7,4,5,2,8,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.048,21,37,32,23,32,26,33,36,29,29,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,16,8,9,4,10,6,6,9,3,5,7,4,5,2,8,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.049,21,37,32,23,32,26,33,36,29,29,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,16,8,9,4,10,6,6,9,3,5,7,4,5,2,8,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.05,20,37,32,23,32,26,32,36,29,29,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,16,8,9,4,10,6,6,9,3,6,7,4,5,2,8,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
