Time (s): 0
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.00456
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00458
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.0046
342	IL: 1. 
158	B: 1. IL: 1. 
42	B: 1. 
Time (s): 0.00462
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00464
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00466
342	IL: 1. 
158	B: 1. IL: 1. 
42	B: 1. 
Time (s): 0.00468
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.0047
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.00472
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00474
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00476
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00478
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.0048
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00482
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.00484
339	IL: 1. 
161	B: 1. IL: 1. 
39	B: 1. 
Time (s): 0.00486
339	IL: 1. 
161	B: 1. IL: 1. 
39	B: 1. 
Time (s): 0.00488
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.0049
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00492
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00494
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00496
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.00498
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.005
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00502
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00504
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.00506
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.00508
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.0051
343	IL: 1. 
